FileNum,Date,Time,Size,FileName,RelPath,AbsPath,Code
2,03/23/2013,11:59 PM,91515,$savepcb.brd,\I2C16Bit\I2C16BitV2,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\I2C16Bit\I2C16BitV2,name/size/path match
1,09/05/2013,09:25 PM,28145,$savepcb.brd,\I2C16Bit\I2C18BitV1,C:\Users\Doug\Documents\DougsPCBDesigns\I2C16Bit\I2C18BitV1,name/size/path match
2,03/23/2013,11:59 PM,28145,$savepcb.brd,\I2C16Bit\I2C18BitV1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\I2C16Bit\I2C18BitV1,name/size/path match
1,09/05/2013,09:26 PM,10085,$savepcb.brd,\LDRSensor\LDRV1,C:\Users\Doug\Documents\DougsPCBDesigns\LDRSensor\LDRV1,name/size/path match
2,03/23/2013,11:59 PM,10085,$savepcb.brd,\LDRSensor\LDRV1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\LDRSensor\LDRV1,name/size/path match
1,09/05/2013,09:27 PM,28914,$savepcb.brd,\LED-Lamp,C:\Users\Doug\Documents\DougsPCBDesigns\LED-Lamp,name/size/path match
2,03/23/2013,11:59 PM,28914,$savepcb.brd,\LED-Lamp,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\LED-Lamp,name/size/path match
2,03/23/2013,11:59 PM,103848,$savepcb.brd,\MiniDuino,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\MiniDuino,Missing file
1,09/05/2013,09:27 PM,29395,$savepcb.brd,\PowerDistrib,C:\Users\Doug\Documents\DougsPCBDesigns\PowerDistrib,name/size/path match
2,03/24/2013,12:00 AM,29395,$savepcb.brd,\PowerDistrib,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\PowerDistrib,name/size/path match
1,09/05/2013,09:27 PM,77409,$savepcb.brd,\Screwduino\Screwduino KiCAD,C:\Users\Doug\Documents\DougsPCBDesigns\Screwduino\Screwduino KiCAD,name/size/path match
